ticker,questions_asked,answers
adanient,"second question there is a sharp improvement in Mumbai Airport EVA-to-EBITDA Q-o-Q,
so is this primarily due to non-aero or have you seen this spending per pax increasing very fast
in the quarter, Q-o-Q?","Largely, the EBITDA growth and EBITDA is driven by two aspects. One, the spending by the
passengers and non-passengers at the airport and secondly, the increase in the actual gross spend rate of each of the passenger, so these two aspects contributing for the growth in AEL."
adanient,"My third question is Carmichael, is it possible to share the revenues and EBITDA for the quarter
and the related question is that in the segmental which you have disclosed, commercial mining
is one line item, I believe this primarily corresponds to Carmichael? Is my understanding correct?","Yes, the understanding is correct."
adanient,Can you please specify which are the countries where we are exporting our modules right now?,"Primarily, US and Europe, overall."
adanient,"What are our CAPEX plans especially for green hydrogen, airports and data center
segments for the next 3 years?","Overall in the longer term, the CAPEX plans don’t alter for the asset like for green hydrogen
full 3-million-ton facility, approximately $50 billion as we have outlined in previous year, so
that plan continues forward as it is."
adanient,What is the guidance for commercial mining this year?,We are hopeful of starting the open cut in Dhirauli mine which is the commercial mine in this financial year.
adanient,What is the volume guidance for this year?,"For commercial mining, I don’t think will get any volume this year in India."
adanient,"what exactly must be the trend going forward and also our utilization levels, if I am not wrong, are
somewhere around 60%. So, can we see better utilization going ahead as well?","The utilization levels will rise because the technology change was taking place across the line to Topcon. That is why the lines were stabilizing, so the utilization rate will rise, margins will not rise, but are expected to stabilize or very slight decline."
adanient,"can you help give a breakup of the $3.7 billion CAPEX plan
for this year across the different segments? ","Approximately about $300 million for Green Hydrogen, $1.1 billion for airports, approximately
$1.7 billion for the road network, just under $100 million for water, just under $200 million for
the Data Center, and then small completion cost for the copper project just under $200 million."
adanient,"Historically you sometimes give figures for expected volumes in IRM and mining services for the full year, what would be the number for FY24
which you would expect?","As far as the mining services is concerned, we are targeting to do about 35 million tons in India."
adanient,"And the solar modules, this 614 MW, so we should expect like what would be the number for
solar module segment in terms of MW?","We expect the run rate to continue on broadly in these, from a quarter-to-quarter it is not expected to change, but you can expect the run rate at the same level."
adaniports,"My first question is in FY2022 end your warehousing capacity was 0.8 million square feet and so far till Q1 FY2024 you are at about 1.6 million square feet how
will the ramp up to 60 million square feet is phased out and what will be the associated capex?","So, we have roughly as of right now 5 million square feet under construction. We would be looking to add roughly 10 million square feet every year in order to reach that target."
adaniports,What will be the associated capex production?,"So, this year's capex guidance already takes into account the 5 million square feet and for the remaining we would look at roughly Rs.1800 to 2000 per square feet as a ballpark figure to compute the capex."
adaniports,"Could you help disaggregate the logistics rail volumes of 131,420 into exim and domestic and basically what has been the here on volume growth?","Roughly 90% of our volume is exim, 10% is domestic and we mainly run Mundra and Patli
and Kila Raipur as the circuits and we have a very balanced route right now"
adaniports,"Can you provide what the debt and cash numbers were at the
end of the quarter?","The total gross debt is 48,800 Crores and cash is 9,800 Crores so total net debt is around
39,000 Crores."
adaniports,Is there any one off in any of the other ports as well where the particular cargo or particular receipt is helping boosting the margins?,"No, there is no one off in any of the port items at any places."
adaniports,Could we just get an idea how the ramp up will go from 40% to 100% in the next 18 months. ,"We are currently in implementation of 250 megawatts of renewable energy, which we expect
to be commissioned by April 2024. The 250 megawatts we would be reaching roughly 90%
of the renewable share."
adaniports,"My question is a bit medium term as there has been any talks conducted with the Gujarat Maritime both on extending Mundra ports concession,
there are few news reports last year, but been no updates beyond that or is it too early to sort of think about that at the moment from the company’s perspective?","As we have been mentioning we are touch with Gujarat government to come out with a
policy, it is not just Mundra port but all the private parts which are operated in the state of
Gujarat. The government is formulating a policy. We are hopeful that we should be able to
hear something soon, but as of right now there is no new update to give on that."
adaniports,"Sir the realizations for Q1 are down on Y-o-Y and Q-o-Q basis is it purely because of the mix
and have we taken the price hikes for the year?","You are right, actually it is about couple of percentage reduction, but it is by and large because of the mix but the important number to note is actually the port EBITDA which actually is at 72% and also in absolute terms the EBITDA has grown as well so you are absolutely right, it is mix."
adaniports,Okay and Sir have we taken the price hikes for FY2024?,"Yes, we have taken."
adaniports,"Is there any capex guidance you can provide in this case for next three to four years at Dighi
port.","It will be hard to give you a port-by-port guidance. I think what we give as an overall guidance
that includes all of these things."
apollohosp,"So, I just want to understand what's our target for this INR 10,000 crore, don't we need additional stores, or we think we're going to have a much lower run rate this year?","We have factored about 500 to 600 stores to be added during the year. Q1, consciously we slowed down because in the Q4 last year, we added about 370, 380 stores. And in the last month of March, about 150 stores. So, we want to give that space to stabilize those stores. And Q1, we are back to our normal store openings, and we expect to be there between 500 stores and 600 stores for the year."
apollohosp,"So how should we look at ARPOB growth outlook for, say, next one year to two years?","In terms of how do we look at occupancy, I think that is the important question that we have headroom for growth and that in places like Chennai, we're already 41% of total market share. And we see, we are growing this. So, with this, I think it's going to be, as we go forward, this was asked earlier, it's going to be higher occupancy, resulting in higher EBITDA and also higher EBITDA margins coming from the cost, fixed cost being met. And therefore, we are quite confident that, that this is the way forward."
apollohosp,"And the transacting user number that you have given for this quarter and
comparable quarter, would you be able to share the number for quarter 4?","So, in the previous quarter, Q4 if you are referring to, it was about INR
9.9 lakhs."
apollohosp,"When I look at it from two years to three-year perspective, pre-COVID let's say, FY19 or FY20, how
would have our payer mix looked? ","I think pre-COVID self-pay was almost around 45%. Now if you look at self-pay as a percentage of revenue, it is 40%. Insurance is where we have had significant increase, where it was close to 25% to 28% pre-COVID, that has come to 44% of our revenues now. "
apollohosp,"What would be for the split for a previous quarter, like Q4?","Q4 for pharmacy was INR 375 crore and diagnostics was INR 42 crore. Diagnostics went up by about 16% to 18% for the quarter. And pharmacy, as I said, in the previous question that we took certain decisions to let go those volumes which are not profitable to the organization and that is the reason we see that gets settled in Q1."
apollohosp,"If I may ask last question, what is the tax rate?","The tax rate is 25% overall for the Company. And in the standalone, it is 25%. What happens in consol, you see it at a higher number."
